player1,player2,player3,player4,player5,2FGA,2FGM,3FGA,3FGM,AG,AS,CM,CMU,D,FTA,FTM,FV,O,OF,RV,ST,TEAM,TO,seconds
"DUNSTON, BRYANT","MCCOLLUM, ERRICK","MOTUM, BROCK","MURIC, EDO","SIMON, KRUNOSLAV",17,11,7,9,6,8,10,0,22,1,11,3,11,1,9,5,IST,11,808.0
"DUNSTON, BRYANT","MCCOLLUM, ERRICK","MOTUM, BROCK","SIMON, KRUNOSLAV","WEEMS, SONNY",7,11,7,6,1,15,5,1,8,2,5,1,2,0,10,3,IST,3,511.0
"DUVERIOGLU, AHMET","KALINIC, NIKOLA","NUNNALLY, JAMES","SLOUKAS, KOSTAS","VESELY, JAN",8,7,0,4,0,5,6,1,7,0,6,1,2,1,7,1,ULK,2,316.0
"FELDEINE, JAMES","JANKOVIC, STEFAN","LAZIC, BRANKO","LESSORT, MATHIAS","ROCHESTIE, TAYLOR",19,18,11,5,4,15,13,2,16,4,16,0,14,0,16,9,RED,8,853.0
"FRIDZON, VITALY","HIGGINS, CORY","HUNTER, OTHELLO","RODRIGUEZ, SERGIO","VORONTSEVICH, ANDREY",5,10,3,2,0,3,4,0,4,1,7,0,7,3,11,3,CSK,6,337.0
"GABRIEL, KENNY","GIST, JAMES","LEKAVICIUS, LUKAS","PAPPAS, NIKOS","RIVERS, KC",7,6,6,5,0,8,3,0,8,1,0,1,2,0,9,6,PAN,4,363.0
"GABRIEL, KENNY","LEKAVICIUS, LUKAS","LOJESKI, MATT","PAPPAS, NIKOS","VOUGIOUKAS, IAN",3,7,6,3,0,5,7,0,6,0,0,1,0,1,6,1,PAN,4,381.0
"GABRIEL, KENNY","LEKAVICIUS, LUKAS","PAPPAS, NIKOS","RIVERS, KC","VOUGIOUKAS, IAN",10,8,14,7,2,9,8,0,8,2,12,1,8,0,19,7,PAN,6,752.0
"GARINO, PATRICIO","GRANGER, JAYSON","JANNING, MATT","POIRIER, VINCENT","SHENGELIA, TORNIKE",7,12,7,4,1,14,7,0,7,4,10,2,8,0,9,4,BAS,6,548.0
"GARINO, PATRICIO","GRANGER, JAYSON","JANNING, MATT","POIRIER, VINCENT","VOIGTMANN, JOHANNES",8,10,5,1,3,9,11,0,12,1,4,1,4,1,7,5,BAS,6,498.0
"GARINO, PATRICIO","GRANGER, JAYSON","JANNING, MATT","SHENGELIA, TORNIKE","VOIGTMANN, JOHANNES",8,8,7,5,1,10,6,0,11,3,6,0,4,0,12,9,BAS,5,486.0
"GARINO, PATRICIO","JANNING, MATT","POIRIER, VINCENT","VILDOZA, LUCA","VOIGTMANN, JOHANNES",6,9,3,4,1,9,5,0,10,3,9,0,2,0,10,1,BAS,1,483.0
"GILL, ANTHONY","HONEYCUTT, TYLER","JENKINS, CHARLES","MARKOVIC, STEFAN","TODOROVIC, MARKO",3,5,8,3,2,4,7,0,9,1,1,1,3,0,3,1,KHI,3,410.0
"GILL, ANTHONY","HONEYCUTT, TYLER","JENKINS, CHARLES","SHVED, ALEXEY","THOMAS, MALCOLM",10,5,7,3,0,6,3,0,10,4,7,0,3,0,12,1,KHI,3,407.0
"GILL, ANTHONY","HONEYCUTT, TYLER","MARKOVIC, STEFAN","MONIA, SERGEY","VIALTSEV, EGOR",1,7,5,3,0,8,7,0,10,2,3,0,4,1,8,0,KHI,3,325.0
"GILL, ANTHONY","HONEYCUTT, TYLER","MARKOVIC, STEFAN","SHVED, ALEXEY","THOMAS, MALCOLM",14,7,6,5,3,6,8,0,16,5,5,3,7,1,7,3,KHI,6,581.0
"GILL, ANTHONY","JENKINS, CHARLES","MARKOVIC, STEFAN","ROBINSON, THOMAS","SHVED, ALEXEY",16,10,16,7,1,12,12,0,13,6,17,2,12,0,20,7,KHI,6,800.0
"GILL, ANTHONY","JENKINS, CHARLES","MARKOVIC, STEFAN","SHVED, ALEXEY","THOMAS, MALCOLM",6,13,12,6,0,16,14,1,12,0,10,1,7,0,13,8,KHI,4,747.0
"GILL, ANTHONY","JENKINS, CHARLES","MARKOVIC, STEFAN","SHVED, ALEXEY","TODOROVIC, MARKO",4,4,5,2,0,4,4,0,3,1,3,1,4,1,7,3,KHI,7,341.0
"GILL, ANTHONY","JENKINS, CHARLES","SHVED, ALEXEY","THOMAS, MALCOLM","VIALTSEV, EGOR",10,17,16,13,2,25,23,0,14,1,10,0,5,0,9,9,KHI,8,977.0
"GILL, ANTHONY","MARKOVIC, STEFAN","SHVED, ALEXEY","THOMAS, MALCOLM","VIALTSEV, EGOR",12,23,21,12,3,21,25,0,18,5,12,4,4,0,30,7,KHI,15,1462.0
"GILL, ANTHONY","MARKOVIC, STEFAN","SHVED, ALEXEY","TODOROVIC, MARKO","VIALTSEV, EGOR",6,11,5,3,1,6,8,0,10,3,10,1,5,2,8,4,KHI,8,467.0
"GIST, JAMES","LEKAVICIUS, LUKAS","LOJESKI, MATT","RIVERS, KC","SINGLETON, CHRIS",5,2,8,5,3,10,8,0,14,1,11,0,2,2,11,4,PAN,6,549.0
"GIST, JAMES","LEKAVICIUS, LUKAS","PAPPAS, NIKOS","RIVERS, KC","SINGLETON, CHRIS",5,7,5,5,1,6,12,0,8,2,7,1,1,1,14,5,PAN,8,605.0
"GOUDELOCK, ANDREW","GUDAITIS, ARTURAS","JERRELLS, CURTIS","KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR",13,13,9,2,1,9,8,0,14,0,2,4,8,0,11,3,MIL,2,639.0
"GOUDELOCK, ANDREW","GUDAITIS, ARTURAS","KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","THEODORE, JORDAN",10,8,8,2,0,5,7,2,7,4,8,2,7,1,10,2,MIL,6,657.0
"GOUDELOCK, ANDREW","GUDAITIS, ARTURAS","M'BAYE, AMATH","MICOV, VLADIMIR","THEODORE, JORDAN",15,19,9,7,1,14,14,0,19,7,12,3,10,0,16,1,MIL,8,1052.0
"GOUDELOCK, ANDREW","GUDAITIS, ARTURAS","MICOV, VLADIMIR","PASCOLO, DAVIDE","THEODORE, JORDAN",6,5,1,1,0,4,5,0,5,1,3,0,1,0,4,1,MIL,3,305.0
"GOUDELOCK, ANDREW","JEFFERSON, CORY","MICOV, VLADIMIR","TARCZEWSKI, KALEB","THEODORE, JORDAN",12,16,9,6,0,11,10,0,13,1,12,2,5,2,18,3,MIL,7,773.0
"GOUDELOCK, ANDREW","JERRELLS, CURTIS","KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB",7,10,6,3,1,4,12,0,12,2,11,1,5,1,8,4,MIL,4,490.0
"GOUDELOCK, ANDREW","KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB","THEODORE, JORDAN",18,24,11,13,1,24,18,0,16,4,13,0,6,3,25,5,MIL,8,1150.0
"GOUDELOCK, ANDREW","M'BAYE, AMATH","MICOV, VLADIMIR","TARCZEWSKI, KALEB","THEODORE, JORDAN",29,24,22,16,3,25,25,0,32,3,19,4,17,3,29,7,MIL,16,1896.0
